#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
BOS - PIT	<b>Optimal:</b> Ken Brett, Matt Stairs, Rich Hill<br><b>Twins:</b> Dennys Reyes, Ken Brett, Orlando Merced, Rich Hill, Ron Kline
BOS - SDP	<b>Optimal:</b> Jose Cruz, Matt Stairs, Rich Hill<br><b>Twins:</b> Dennys Reyes, Rich Hill
BOS - SEA	<b>Optimal:</b> Jose Cruz<br><b>Twins:</b> Taylor Motter
BOS - SFG	<b>Optimal:</b> Edgar Renteria, Jose Cruz<br><b>Twins:</b> Orlando Cabrera, Ron Kline
BOS - STL	<b>Optimal:</b> Edgar Renteria<br><b>Twins:</b> Dennys Reyes, Ron Kline, Taylor Motter
BOS - TBD	<b>Optimal:</b> Chase Anderson, Jose Cruz, Rich Hill<br><b>Twins:</b> Rich Hill, Taylor Motter
BOS - TEX	<b>Optimal:</b> Bruce Chen, Chase Anderson, Matt Stairs<br><b>Twins:</b> Dennys Reyes, Ron Kline, Sandy Leon
BOS - TOR	<b>Optimal:</b> Chase Anderson, Jose Cruz, Matt Stairs<br><b>Twins:</b> Orlando Merced
BOS - WSN	<b>Optimal:</b> Bruce Chen, Matt Stairs<br><b>Twins:</b> Orlando Cabrera, Orlando Merced, Sandy Leon
CHC - CHW	<b>Optimal:</b> Billy Hamilton, Edwin Jackson<br><b>Twins:</b> Billy Hamilton, Bob Miller
CHC - CIN	<b>Optimal:</b> Billy Hamilton, Mike Morgan<br><b>Twins:</b> Billy Hamilton, Mike Morgan
CHC - CLE	<b>Optimal:</b> Rich Hill<br><b>Twins:</b> Bob Miller, Rich Hill, Terry Mulholland
CHC - COL	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins
CHC - DET	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Matt Stairs<br><b>Twins:</b> Bob Miller, Fernando Rodney
CHC - FLA	<b>Optimal:</b> Billy Hamilton, Edwin Jackson, Fernando Rodney<br><b>Twins:</b> Billy Hamilton, Fernando Rodney
CHC - HOU	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins, Orlando Merced
CHC - KCR	<b>Optimal:</b> Billy Hamilton, Matt Stairs<br><b>Twins:</b> Billy Hamilton
CHC - LAD	<b>Optimal:</b> Edwin Jackson, Mike Morgan, Rich Hill<br><b>Twins:</b> Bob Miller, Mike Morgan, Rich Hill, Terry Mulholland
CHC - MIL	<b>Optimal:</b> LaTroy Hawkins, Matt Stairs<br><b>Twins:</b> LaTroy Hawkins
CHC - MIN	<b>Optimal:</b> Billy Hamilton, Fernando Rodney, LaTroy Hawkins, Mike Morgan, Rich Hill<br><b>Twins:</b> Billy Hamilton, Bob Miller, Fernando Rodney, LaTroy Hawkins, Mike Morgan, Orlando Merced, Rich Hill, Terry Mulholland
CHC - NYM	<b>Optimal:</b> Billy Hamilton, LaTroy Hawkins, Rich Hill<br><b>Twins:</b> Billy Hamilton, Bob Miller, LaTroy Hawkins, Rich Hill
